Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0416.05:21:57.713 0416.05:22:11.751 0     192.168.0.107   57824 0     199.232.153.164 443   6   7  212        20715     
0416.05:21:57.713 0416.05:22:11.751 0     199.232.153.164 443   0     192.168.0.107   57824 6   3  366        2081488   
0416.05:21:58.228 0416.05:22:11.775 0     52.89.31.9      443   0     192.168.0.107   48636 6   3  23         6799      
0416.05:21:58.228 0416.05:22:11.775 0     192.168.0.107   48636 0     52.89.31.9      443   6   7  29         7594      
0416.05:21:58.256 0416.05:22:11.750 0     192.168.0.107   57844 0     199.232.153.164 443   6   7  20         3879      
0416.05:21:58.256 0416.05:22:11.750 0     199.232.153.164 443   0     192.168.0.107   57844 6   3  20         7925      
0416.05:21:58.259 0416.05:22:11.775 0     34.223.148.93   443   0     192.168.0.107   45104 6   3  13         5166      
0416.05:21:58.259 0416.05:22:11.775 0     192.168.0.107   45104 0     34.223.148.93   443   6   7  17         2151      
0416.05:22:08.064 0416.05:22:11.747 0     192.168.0.107   38712 0     199.232.154.133 443   6   7  95         11674     
0416.05:22:08.064 0416.05:22:11.747 0     199.232.154.133 443   0     192.168.0.107   38712 6   3  123        1081003   
0416.05:22:08.554 0416.05:22:11.738 0     23.220.73.207   443   0     192.168.0.107   36262 6   3  65         291606    
0416.05:22:08.554 0416.05:22:11.738 0     192.168.0.107   36262 0     23.220.73.207   443   6   7  48         5231      
0416.05:22:49.779 0416.05:22:49.786 0     192.168.0.107   37330 0     192.168.0.203   21    6   6  2          84        
0416.05:22:49.779 0416.05:22:49.786 0     192.168.0.203   21    0     192.168.0.107   37330 6   2  1          46        
0416.05:22:49.779 0416.05:22:49.786 0     192.168.0.107   37330 0     192.168.0.203   22    6   6  2          84        
0416.05:22:49.779 0416.05:22:49.786 0     192.168.0.203   22    0     192.168.0.107   37330 6   2  1          46        
0416.05:22:49.779 0416.05:22:49.786 0     192.168.0.107   37330 0     192.168.0.203   25    6   2  1          44        
0416.05:22:49.779 0416.05:22:49.786 0     192.168.0.203   25    0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.779 0416.05:22:49.789 0     192.168.0.107   37330 0     192.168.0.203   23    6   6  2          84        
0416.05:22:49.779 0416.05:22:49.789 0     192.168.0.203   23    0     192.168.0.107   37330 6   2  1          46        
0416.05:22:49.780 0416.05:22:49.789 0     192.168.0.107   37330 0     192.168.0.203   7     6   2  1          44        
0416.05:22:49.780 0416.05:22:49.789 0     192.168.0.203   7     0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.780 0416.05:22:49.789 0     192.168.0.107   37330 0     192.168.0.203   10    6   2  1          44        
0416.05:22:49.780 0416.05:22:49.789 0     192.168.0.203   10    0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.781 0416.05:22:49.789 0     192.168.0.107   37330 0     192.168.0.203   17    6   2  1          44        
0416.05:22:49.781 0416.05:22:49.789 0     192.168.0.203   17    0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.781 0416.05:22:49.789 0     192.168.0.107   37330 0     192.168.0.203   13    6   2  1          44        
0416.05:22:49.781 0416.05:22:49.789 0     192.168.0.203   13    0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.781 0416.05:22:49.789 0     192.168.0.107   37330 0     192.168.0.203   12    6   2  1          44        
0416.05:22:49.781 0416.05:22:49.789 0     192.168.0.203   12    0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.782 0416.05:22:49.789 0     192.168.0.107   37330 0     192.168.0.203   20    6   2  1          44        
0416.05:22:49.782 0416.05:22:49.789 0     192.168.0.203   20    0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.966 0416.05:22:49.981 0     192.168.0.107   37330 0     192.168.0.203   14    6   2  1          44        
0416.05:22:49.966 0416.05:22:49.981 0     192.168.0.203   14    0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.967 0416.05:22:49.982 0     192.168.0.107   37330 0     192.168.0.203   9     6   2  1          44        
0416.05:22:49.967 0416.05:22:49.982 0     192.168.0.203   9     0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.968 0416.05:22:49.982 0     192.168.0.107   37330 0     192.168.0.203   19    6   2  1          44        
0416.05:22:49.968 0416.05:22:49.982 0     192.168.0.203   19    0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.968 0416.05:22:49.982 0     192.168.0.107   37330 0     192.168.0.203   11    6   2  1          44        
0416.05:22:49.968 0416.05:22:49.982 0     192.168.0.203   11    0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.969 0416.05:22:49.982 0     192.168.0.107   37330 0     192.168.0.203   8     6   2  1          44        
0416.05:22:49.969 0416.05:22:49.982 0     192.168.0.203   8     0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.969 0416.05:22:49.982 0     192.168.0.107   37330 0     192.168.0.203   6     6   2  1          44        
0416.05:22:49.969 0416.05:22:49.982 0     192.168.0.203   6     0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.970 0416.05:22:49.982 0     192.168.0.107   37330 0     192.168.0.203   24    6   2  1          44        
0416.05:22:49.970 0416.05:22:49.982 0     192.168.0.203   24    0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.971 0416.05:22:49.982 0     192.168.0.107   37330 0     192.168.0.203   16    6   2  1          44        
0416.05:22:49.971 0416.05:22:49.982 0     192.168.0.203   16    0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.971 0416.05:22:49.982 0     192.168.0.107   37330 0     192.168.0.203   5     6   2  1          44        
0416.05:22:49.971 0416.05:22:49.982 0     192.168.0.203   5     0     192.168.0.107   37330 6   4  1          46        
0416.05:22:49.971 0416.05:22:49.983 0     192.168.0.107   37330 0     192.168.0.203   15    6   2  1          44        
0416.05:22:49.971 0416.05:22:49.983 0     192.168.0.203   15    0     192.168.0.107   37330 6   4  1          46        
