Start,End,Sif,SrcIPaddress,SrcP,DIf,DstIPaddress,DstP,P,Fl,Pkts,Octets
0416.05:21:09.673,0416.05:21:09.703,0,192.168.0.107,44763,0,68.105.29.11,53,17,0,1,77
0416.05:21:52.970,0416.05:21:52.990,0,192.168.0.107,64529,0,68.105.29.11,53,17,0,1,76
0416.05:21:23.195,0416.05:21:23.214,0,192.168.0.107,50078,0,68.105.29.11,53,17,0,1,80
0416.05:21:10.151,0416.05:22:11.799,0,192.168.0.107,58560,0,104.244.42.133,443,6,7,17,2550
0416.05:21:19.621,0416.05:21:19.661,0,192.168.0.107,21619,0,68.105.29.11,53,17,0,1,63
0416.05:22:49.780,0416.05:22:49.789,0,192.168.0.107,37330,0,192.168.0.203,7,6,2,1,44
0416.05:21:53.053,0416.05:22:11.760,0,192.168.0.107,49472,0,107.178.244.119,443,6,3,26,3438
0416.05:21:54.190,0416.05:21:54.206,0,192.168.0.107,28617,0,68.105.29.11,53,17,0,1,70
0416.05:21:09.991,0416.05:21:10.011,0,192.168.0.107,20707,0,68.105.29.11,53,17,0,1,58
0416.05:21:23.184,0416.05:22:11.777,0,192.168.0.107,34222,0,34.160.90.233,443,6,3,27,5788
0416.05:21:50.069,0416.05:21:50.088,0,192.168.0.107,47852,0,68.105.29.11,53,17,0,1,65
0416.05:21:22.290,0416.05:21:22.336,0,192.168.0.107,25816,0,68.105.29.11,53,17,0,1,69
0416.05:22:08.271,0416.05:22:08.290,0,192.168.0.107,57161,0,68.105.28.11,53,17,0,1,61
0416.05:21:57.901,0416.05:21:57.914,0,192.168.0.107,51931,0,68.105.29.11,53,17,0,1,62
0416.05:21:29.231,0416.05:21:29.253,0,192.168.0.107,62644,0,68.105.29.11,53,17,0,1,66
0416.05:21:50.081,0416.05:21:50.097,0,192.168.0.107,61730,0,68.105.29.11,53,17,0,1,58
0416.05:21:49.653,0416.05:22:11.777,0,192.168.0.107,59414,0,142.250.188.238,443,6,3,69,5265
0416.05:20:55.282,0416.05:22:11.777,0,192.168.0.107,35582,0,34.160.46.54,443,6,3,22,2388
