Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets

0306.01:29:29.685 0306.01:29:32.656 0     192.168.0.164   64880 0     239.255.255.250 1900  17  0  4          808       
0306.01:29:29.685 0306.01:29:32.755 0     192.168.0.164   64881 0     239.255.255.250 1900  17  0  4          812       
0306.01:29:37.577 0306.01:29:40.546 0     192.168.0.142   50705 0     239.255.255.250 1900  17  0  4          792       
0306.01:30:17.402 0306.01:30:20.473 0     192.168.0.182   63182 0     239.255.255.250 1900  17  0  4          812       
0306.01:30:28.987 0306.01:30:28.987 0     192.168.0.1     52288 0     239.255.255.250 1900  17  0  3          1491      
0306.01:30:28.987 0306.01:30:28.987 0     192.168.0.1     45118 0     239.255.255.250 1900  17  0  1          534       
0306.01:30:28.987 0306.01:30:28.987 0     192.168.0.1     37073 0     239.255.255.250 1900  17  0  2          997       
0306.01:30:28.987 0306.01:30:28.987 0     192.168.0.1     38464 0     239.255.255.250 1900  17  0  1          550       
0306.01:30:28.987 0306.01:30:28.987 0     192.168.0.1     47636 0     239.255.255.250 1900  17  0  2          1017      
0306.01:30:28.987 0306.01:30:28.987 0     192.168.0.1     59732 0     239.255.255.250 1900  17  0  1          532       
0306.01:30:29.091 0306.01:30:29.091 0     192.168.0.1     60852 0     239.255.255.250 1900  17  0  3          1491      
0306.01:30:29.091 0306.01:30:29.091 0     192.168.0.1     55310 0     239.255.255.250 1900  17  0  1          534       
0306.01:30:29.091 0306.01:30:29.091 0     192.168.0.1     40991 0     239.255.255.250 1900  17  0  2          997       
0306.01:30:29.091 0306.01:30:29.091 0     192.168.0.1     49077 0     239.255.255.250 1900  17  0  1          550       
0306.01:30:29.091 0306.01:30:29.091 0     192.168.0.1     45232 0     239.255.255.250 1900  17  0  2          1017      
0306.01:30:29.091 0306.01:30:29.091 0     192.168.0.1     60546 0     239.255.255.250 1900  17  0  1          532       
0306.01:30:37.845 0306.01:30:40.847 0     192.168.0.91    49904 0     239.255.255.250 1900  17  0  4          812       
0306.01:30:51.705 0306.01:30:51.705 0     1.0.168.192     0     0     224.0.0.1       2304  1   0  1          46        
0306.01:31:29.697 0306.01:31:32.668 0     192.168.0.164   52734 0     239.255.255.250 1900  17  0  4          808       
0306.01:31:29.697 0306.01:31:32.770 0     192.168.0.164   52735 0     239.255.255.250 1900  17  0  4          812       
0306.01:31:37.581 0306.01:31:40.550 0     192.168.0.142   56557 0     239.255.255.250 1900  17  0  4          792       
0306.01:31:46.799 0306.01:33:00.935 0     0.0.0.0         68    0     255.255.255.255 67    17  0  2          656       
0306.01:31:47.307 0306.01:31:51.405 0     192.168.0.163   5353  0     224.0.0.251     5353  17  0  3          330       
0306.01:32:17.415 0306.01:32:20.483 0     192.168.0.182   62137 0     239.255.255.250 1900  17  0  4          812       
0306.01:32:37.846 0306.01:32:40.849 0     192.168.0.91    60271 0     239.255.255.250 1900  17  0  4          812       
0306.01:33:01.135 0306.01:33:05.147 0     192.168.0.190   5353  0     224.0.0.251     5353  17  0  3          420       
0306.01:35:30.748 0306.01:35:31.182 0     34.120.5.221    443   0     192.168.0.203   52012 6   3  13         4176      
0306.01:35:30.748 0306.01:35:31.182 0     192.168.0.203   52012 0     34.120.5.221    443   6   7  14         1559      
0306.01:35:30.748 0306.01:35:56.841 0     34.120.5.221    443   0     192.168.0.203   52014 6   7  30         10898     
0306.01:35:30.748 0306.01:35:56.841 0     192.168.0.203   52014 0     34.120.5.221    443   6   3  35         3406      
0306.01:35:31.458 0306.01:35:31.711 0     128.230.247.70  443   0     192.168.0.203   38730 6   3  8          2842      
0306.01:35:31.458 0306.01:35:31.711 0     192.168.0.203   38730 0     128.230.247.70  443   6   7  12         1258      
0306.01:35:31.458 0306.01:35:31.711 0     128.230.247.70  443   0     192.168.0.203   38732 6   3  8          2866      
0306.01:35:31.458 0306.01:35:31.711 0     192.168.0.203   38732 0     128.230.247.70  443   6   7  10         1166      
0306.01:35:33.066 0306.01:35:33.197 0     34.120.237.76   443   0     192.168.0.203   60728 6   3  11         3998      
0306.01:35:33.066 0306.01:35:33.197 0     192.168.0.203   60728 0     34.120.237.76   443   6   7  15         1575      
0306.01:35:33.066 0306.01:35:33.212 0     34.120.237.76   443   0     192.168.0.203   60730 6   3  11         4010      
0306.01:35:33.066 0306.01:35:33.212 0     192.168.0.203   60730 0     34.120.237.76   443   6   7  11         1391      
0306.01:35:33.108 0306.01:35:33.226 0     34.120.237.76   443   0     192.168.0.203   60734 6   6  9          3888      
0306.01:35:33.108 0306.01:35:33.226 0     192.168.0.203   60734 0     34.120.237.76   443   6   7  12         1443      
0306.01:35:33.109 0306.01:35:33.226 0     34.120.237.76   443   0     192.168.0.203   60736 6   6  10         3940      
0306.01:35:33.109 0306.01:35:33.226 0     192.168.0.203   60736 0     34.120.237.76   443   6   7  13         1483      
0306.01:35:33.109 0306.01:35:33.227 0     34.120.237.76   443   0     192.168.0.203   60738 6   6  9          3888      
0306.01:35:33.109 0306.01:35:33.227 0     192.168.0.203   60738 0     34.120.237.76   443   6   7  12         1431      
0306.01:35:44.038 0306.01:35:44.062 0     192.168.0.203   51218 0     192.178.48.227  443   6   6  2          100       
0306.01:35:44.038 0306.01:35:44.062 0     192.178.48.227  443   0     192.168.0.203   51218 6   2  1          60        
0306.01:35:44.038 0306.01:35:44.062 0     192.168.0.203   51220 0     192.178.48.227  443   6   6  2          100       
0306.01:35:44.038 0306.01:35:44.062 0     192.178.48.227  443   0     192.168.0.203   51220 6   2  1          60        
0306.01:35:44.162 0306.01:35:44.350 0     192.168.0.203   40878 0     192.178.49.193  443   6   7  15         1587      
0306.01:35:44.162 0306.01:35:44.350 0     192.178.49.193  443   0     192.168.0.203   40878 6   3  13         10152     
0306.01:35:44.163 0306.01:35:44.351 0     192.168.0.203   40880 0     192.178.49.193  443   6   7  14         1547      
0306.01:35:44.163 0306.01:35:44.351 0     192.178.49.193  443   0     192.168.0.203   40880 6   3  13         10141     
0306.01:35:48.115 0306.01:35:49.511 0     74.125.170.199  443   0     192.168.0.203   53336 6   2  159        642044    
0306.01:35:48.115 0306.01:35:49.511 0     192.168.0.203   53336 0     74.125.170.199  443   6   6  134        15995     
0306.01:35:48.130 0306.01:35:49.843 0     74.125.170.199  443   0     192.168.0.203   53338 6   2  28         75088     
0306.01:35:48.130 0306.01:35:49.843 0     192.168.0.203   53338 0     74.125.170.199  443   6   6  31         4091      
0306.01:35:49.418 0306.01:35:49.536 0     192.168.0.203   40766 0     192.178.49.174  443   6   7  16         1627      
0306.01:35:49.418 0306.01:35:49.536 0     192.178.49.174  443   0     192.168.0.203   40766 6   3  12         7758      
0306.01:35:49.820 0306.01:35:50.389 0     74.125.170.199  443   0     192.168.0.203   53348 6   2  59         151836    
0306.01:35:49.820 0306.01:35:50.389 0     192.168.0.203   53348 0     74.125.170.199  443   6   6  47         6769      
0306.01:35:50.602 0306.01:35:50.724 0     192.168.0.203   52250 0     192.178.49.14   443   6   6  14         1535      
0306.01:35:50.602 0306.01:35:50.724 0     192.178.49.14   443   0     192.168.0.203   52250 6   3  11         7706      
0306.01:35:49.820 0306.01:36:06.459 0     74.125.170.199  443   0     192.168.0.203   53350 6   2  182        711247    
0306.01:35:49.820 0306.01:36:06.459 0     192.168.0.203   53350 0     74.125.170.199  443   6   6  143        18299     
0306.01:36:03.975 0306.01:36:06.819 0     74.125.170.199  443   0     192.168.0.203   53370 6   2  28         69884     
0306.01:36:03.975 0306.01:36:06.819 0     192.168.0.203   53370 0     74.125.170.199  443   6   6  31         4187      
0306.01:36:06.821 0306.01:36:07.157 0     74.125.170.199  443   0     192.168.0.203   53372 6   2  82         241637    
0306.01:36:06.821 0306.01:36:07.157 0     192.168.0.203   53372 0     74.125.170.199  443   6   6  67         9728      
0306.01:36:21.205 0306.01:36:21.226 0     192.168.0.107   56084 0     192.168.0.203   22    6   6  3          164       
0306.01:36:21.205 0306.01:36:21.226 0     192.168.0.203   22    0     192.168.0.107   56084 6   2  1          60        
0306.01:36:21.205 0306.01:36:21.205 0     192.168.0.107   49438 0     192.168.0.203   199   6   2  1          60        
0306.01:36:21.205 0306.01:36:21.205 0     192.168.0.203   199   0     192.168.0.107   49438 6   4  1          40        
0306.01:36:21.205 0306.01:36:21.205 0     192.168.0.107   52638 0     192.168.0.203   1723  6   2  1          60        
0306.01:36:21.205 0306.01:36:21.205 0     192.168.0.203   1723  0     192.168.0.107   52638 6   4  1          40        
0306.01:36:21.223 0306.01:36:21.223 0     192.168.0.107   34958 0     192.168.0.203   3389  6   2  1          60        
0306.01:36:21.223 0306.01:36:21.223 0     192.168.0.203   3389  0     192.168.0.107   34958 6   4  1          40        
0306.01:36:21.224 0306.01:36:21.224 0     192.168.0.107   54786 0     192.168.0.203   110   6   2  1          60        
