Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets

0306.01:09:03.371 0306.01:09:03.371 0     192.168.0.139   60257 0     192.168.0.255   15600 17  0  1          63        
0306.01:08:57.536 0306.01:09:05.214 0     192.168.0.164   50895 0     239.255.255.250 3702  17  0  7          4788      
0306.01:09:06.332 0306.01:09:06.332 0     192.168.0.139   38975 0     239.255.255.250 15600 17  0  1          63        
0306.01:09:09.310 0306.01:09:09.310 0     192.168.0.139   49606 0     192.168.0.255   15600 17  0  1          63        
0306.00:40:47.034 0306.01:09:10.948 0     192.168.0.163   5353  0     224.0.0.251     5353  17  0  43         4706      
0306.01:09:12.380 0306.01:09:12.380 0     192.168.0.139   52856 0     239.255.255.250 15600 17  0  1          63        
0306.01:09:15.347 0306.01:09:15.347 0     192.168.0.139   56979 0     192.168.0.255   15600 17  0  1          63        
0306.01:09:18.312 0306.01:09:18.312 0     192.168.0.139   58999 0     239.255.255.250 15600 17  0  1          63        
0306.01:09:24.362 0306.01:09:24.362 0     192.168.0.139   43742 0     239.255.255.250 15600 17  0  1          63        
0306.01:09:22.407 0306.01:09:25.479 0     192.168.0.182   57182 0     239.255.255.250 1900  17  0  4          812       
0306.01:09:27.328 0306.01:09:27.328 0     192.168.0.139   45341 0     192.168.0.255   15600 17  0  1          63        
0306.01:09:30.402 0306.01:09:30.402 0     192.168.0.139   47408 0     239.255.255.250 15600 17  0  1          63        
0306.01:09:33.363 0306.01:09:33.363 0     192.168.0.139   36355 0     192.168.0.255   15600 17  0  1          63        
0306.01:09:36.339 0306.01:09:36.339 0     192.168.0.139   59622 0     239.255.255.250 15600 17  0  1          63        
0306.01:09:39.313 0306.01:09:39.313 0     192.168.0.139   47516 0     192.168.0.255   15600 17  0  1          63        
0306.01:09:42.384 0306.01:09:42.384 0     192.168.0.139   48956 0     239.255.255.250 15600 17  0  1          63        
0306.01:09:45.690 0306.01:09:48.692 0     192.168.0.91    57259 0     239.255.255.250 1900  17  0  4          812       
0306.01:09:48.326 0306.01:09:48.326 0     192.168.0.139   43364 0     239.255.255.250 15600 17  0  1          63        
0306.01:09:51.394 0306.01:09:51.394 0     192.168.0.139   41353 0     192.168.0.255   15600 17  0  1          63        
0306.01:09:54.358 0306.01:09:54.358 0     192.168.0.139   38223 0     239.255.255.250 15600 17  0  1          63        
0306.01:09:57.533 0306.01:09:57.533 0     192.168.0.139   44127 0     192.168.0.255   15600 17  0  1          63        
0306.01:10:00.407 0306.01:10:00.407 0     192.168.0.139   43178 0     239.255.255.250 15600 17  0  1          63        
0306.01:10:03.366 0306.01:10:03.366 0     192.168.0.139   47423 0     192.168.0.255   15600 17  0  1          63        
0306.01:10:06.335 0306.01:10:06.335 0     192.168.0.139   38586 0     239.255.255.250 15600 17  0  1          63        
0306.01:10:09.517 0306.01:10:09.517 0     192.168.0.139   43766 0     192.168.0.255   15600 17  0  1          63        
0306.01:10:12.376 0306.01:10:12.376 0     192.168.0.139   33124 0     239.255.255.250 15600 17  0  1          63        
0306.01:10:15.351 0306.01:10:15.351 0     192.168.0.139   33367 0     192.168.0.255   15600 17  0  1          63        
0306.01:10:18.326 0306.01:10:18.326 0     192.168.0.139   52169 0     239.255.255.250 15600 17  0  1          63        
0306.01:10:21.398 0306.01:10:21.398 0     192.168.0.139   60244 0     192.168.0.255   15600 17  0  1          63        
0306.01:10:24.363 0306.01:10:24.363 0     192.168.0.139   33711 0     239.255.255.250 15600 17  0  1          63        
0306.01:10:27.429 0306.01:10:27.429 0     192.168.0.139   58232 0     192.168.0.255   15600 17  0  1          63        
0306.01:10:30.407 0306.01:10:30.407 0     192.168.0.139   39643 0     239.255.255.250 15600 17  0  1          63        
0306.01:10:33.379 0306.01:10:33.379 0     192.168.0.139   60368 0     192.168.0.255   15600 17  0  1          63        
0306.01:10:36.449 0306.01:10:36.449 0     192.168.0.139   37671 0     239.255.255.250 15600 17  0  1          63        
0306.01:10:36.149 0306.01:10:39.104 0     192.168.0.142   49554 0     239.255.255.250 1900  17  0  4          792       
0306.01:10:39.411 0306.01:10:39.411 0     192.168.0.139   44036 0     192.168.0.255   15600 17  0  1          63        
0306.01:10:42.380 0306.01:10:42.380 0     192.168.0.139   36006 0     239.255.255.250 15600 17  0  1          63        
0306.01:10:48.321 0306.01:10:48.321 0     192.168.0.139   60109 0     239.255.255.250 15600 17  0  1          63        
0306.01:05:11.019 0306.01:10:49.863 0     192.168.0.190   5353  0     224.0.0.251     5353  17  0  17         2370      
0306.01:10:48.635 0306.01:10:51.802 0     192.168.0.164   64036 0     239.255.255.250 1900  17  0  3          606       
0306.01:10:48.635 0306.01:10:51.802 0     192.168.0.164   64037 0     239.255.255.250 1900  17  0  4          812       
0306.01:10:51.401 0306.01:10:51.401 0     192.168.0.139   44675 0     192.168.0.255   15600 17  0  1          63        
0306.01:10:54.360 0306.01:10:54.360 0     192.168.0.139   36504 0     239.255.255.250 15600 17  0  1          63        
0306.01:10:57.339 0306.01:10:57.339 0     192.168.0.139   49579 0     192.168.0.255   15600 17  0  1          63        
0306.01:11:00.405 0306.01:11:00.405 0     192.168.0.139   55987 0     239.255.255.250 15600 17  0  1          63        
0306.01:11:03.375 0306.01:11:03.375 0     192.168.0.139   56201 0     192.168.0.255   15600 17  0  1          63        
0306.01:11:06.340 0306.01:11:06.340 0     192.168.0.139   33859 0     239.255.255.250 15600 17  0  1          63        
0306.01:11:09.412 0306.01:11:09.412 0     192.168.0.139   42288 0     192.168.0.255   15600 17  0  1          63        
0306.01:11:12.391 0306.01:11:12.391 0     192.168.0.139   34762 0     239.255.255.250 15600 17  0  1          63        
0306.01:11:15.363 0306.01:11:15.363 0     192.168.0.139   42273 0     192.168.0.255   15600 17  0  1          63        
0306.01:11:18.430 0306.01:11:18.430 0     192.168.0.139   57028 0     239.255.255.250 15600 17  0  1          63        
0306.01:11:21.400 0306.01:11:21.400 0     192.168.0.139   36378 0     192.168.0.255   15600 17  0  1          63        
0306.01:11:22.419 0306.01:11:24.473 0     192.168.0.182   50978 0     239.255.255.250 1900  17  0  3          609       
0306.01:11:25.087 0306.01:11:25.087 0     192.168.0.164   55482 0     224.0.0.252     5355  17  0  1          61        
0306.01:11:26.561 0306.01:11:26.561 0     192.168.0.164   50756 0     224.0.0.252     5355  17  0  1          61        
0306.01:11:26.664 0306.01:11:26.664 0     192.168.0.164   54042 0     224.0.0.252     5355  17  0  1          61        
0306.01:11:27.176 0306.01:11:27.176 0     192.168.0.182   49676 0     224.0.0.252     5355  17  0  1          58        
0306.01:11:27.187 0306.01:11:27.187 0     192.168.0.182   63105 0     224.0.0.252     5355  17  0  1          58        
0306.01:11:27.272 0306.01:11:27.272 0     192.168.0.91    60872 0     224.0.0.252     5355  17  0  1          53        
0306.01:11:27.285 0306.01:11:27.285 0     192.168.0.142   58771 0     224.0.0.252     5355  17  0  1          61        
0306.01:11:27.294 0306.01:11:27.294 0     192.168.0.142   60634 0     224.0.0.252     5355  17  0  1          61        
0306.01:11:27.298 0306.01:11:27.298 0     192.168.0.91    62292 0     224.0.0.252     5355  17  0  1          53        
0306.01:11:28.713 0306.01:11:28.713 0     192.168.0.142   62394 0     224.0.0.252     5355  17  0  1          61        
0306.01:11:29.805 0306.01:11:29.805 0     192.168.0.91    53561 0     224.0.0.252     5355  17  0  1          53        
0306.01:11:30.263 0306.01:11:30.263 0     192.168.0.182   49688 0     224.0.0.252     5355  17  0  1          58        
0306.01:11:31.794 0306.01:11:31.794 0     192.168.0.91    57235 0     224.0.0.252     5355  17  0  1          53        
0306.01:11:29.632 0306.01:11:32.712 0     192.168.0.164   60417 0     239.255.255.250 1900  17  0  4          808       
0306.01:11:30.663 0306.01:11:32.712 0     192.168.0.164   60416 0     239.255.255.250 1900  17  0  2          406       
0306.01:11:32.507 0306.01:11:32.609 0     192.168.0.139   3942  0     239.255.255.250 1900  17  0  6          942       
0306.01:11:32.610 0306.01:11:32.610 0     192.168.0.139   60056 0     239.255.255.250 15600 17  0  1          324       
0306.01:11:32.610 0306.01:11:32.610 0     192.168.0.139   34675 0     239.255.255.250 15600 17  0  1          63        
0306.01:11:32.610 0306.01:11:32.610 0     192.168.0.139   32792 0     192.168.0.255   15600 17  0  1          324       
0306.01:11:30.333 0306.01:11:33.337 0     192.168.0.91    53563 0     239.255.255.250 1900  17  0  4          812       
0306.01:11:30.556 0306.01:11:33.633 0     192.168.0.142   62395 0     239.255.255.250 1900  17  0  4          792       
0306.01:11:31.482 0306.01:11:34.452 0     192.168.0.182   52209 0     239.255.255.250 1900  17  0  3          609       
0306.01:11:34.340 0306.01:11:34.340 0     192.168.0.139   46215 0     192.168.0.255   15600 17  0  1          63        
0306.01:06:54.757 0306.01:11:35.674 0     192.168.0.164   5353  0     224.0.0.251     5353  17  0  50         4490      
0306.01:11:32.507 0306.01:11:35.066 0     192.168.0.139   3955  0     239.255.255.250 1900  17  0  63         19537     
0306.01:11:27.176 0306.01:11:37.524 0     192.168.0.182   5353  0     224.0.0.251     5353  17  0  11         1090      
0306.01:11:37.421 0306.01:11:37.421 0     192.168.0.139   59037 0     239.255.255.250 15600 17  0  1          63        
0306.01:11:40.392 0306.01:11:40.392 0     192.168.0.139   57455 0     192.168.0.255   15600 17  0  1          63        
0306.01:11:43.354 0306.01:11:43.354 0     192.168.0.139   56308 0     239.255.255.250 15600 17  0  1          63        
0306.01:11:46.424 0306.01:11:46.424 0     192.168.0.139   57096 0     192.168.0.255   15600 17  0  1          63        
0306.01:11:49.394 0306.01:11:49.394 0     192.168.0.139   47147 0     239.255.255.250 15600 17  0  1          63        
0306.01:11:52.370 0306.01:11:52.370 0     192.168.0.139   56992 0     192.168.0.255   15600 17  0  1          63        
0306.01:11:55.334 0306.01:11:55.334 0     192.168.0.139   43620 0     239.255.255.250 15600 17  0  1          63        
