Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets

0306.00:49:01.728 0306.00:49:01.728 0     192.168.0.142   64778 0     192.168.0.203   45769 17  0  1          98        
0306.00:49:01.728 0306.00:49:02.033 0     192.168.0.203   0     0     192.168.0.142   771   1   0  2          373       
0306.00:49:02.033 0306.00:49:02.033 0     192.168.0.142   64777 0     192.168.0.203   45769 17  0  1          219       
0306.00:49:00.894 0306.00:49:03.973 0     192.168.0.142   59244 0     239.255.255.250 1900  17  0  4          792       
0306.00:49:03.146 0306.00:49:03.146 0     192.168.0.139   55427 0     192.168.0.255   15600 17  0  1          63        
0306.00:49:06.121 0306.00:49:06.121 0     192.168.0.139   35715 0     239.255.255.250 15600 17  0  1          63        
0306.00:49:09.087 0306.00:49:09.087 0     192.168.0.139   60554 0     192.168.0.255   15600 17  0  1          63        
0306.00:49:12.158 0306.00:49:12.158 0     192.168.0.139   45707 0     239.255.255.250 15600 17  0  1          63        
0306.00:49:12.415 0306.00:49:12.415 0     192.168.0.142   63992 0     239.255.255.250 1900  17  0  1          153       
0306.00:49:12.158 0306.00:49:15.232 0     192.168.0.142   51982 0     239.255.255.250 1900  17  0  4          792       
0306.00:49:15.232 0306.00:49:15.232 0     192.168.0.139   49298 0     192.168.0.255   15600 17  0  1          63        
0306.00:49:18.101 0306.00:49:18.101 0     192.168.0.139   41950 0     239.255.255.250 15600 17  0  1          63        
0306.00:49:21.074 0306.00:49:21.074 0     192.168.0.139   43564 0     192.168.0.255   15600 17  0  1          63        
0306.00:49:22.508 0306.00:49:24.447 0     192.168.0.182   52633 0     239.255.255.250 1900  17  0  3          609       
0306.00:49:24.144 0306.00:49:24.144 0     192.168.0.139   50992 0     239.255.255.250 15600 17  0  1          63        
0306.00:49:27.111 0306.00:49:27.111 0     192.168.0.139   48134 0     192.168.0.255   15600 17  0  1          63        
0306.00:49:30.078 0306.00:49:30.078 0     192.168.0.139   48419 0     239.255.255.250 15600 17  0  1          63        
0306.00:49:33.150 0306.00:49:33.150 0     192.168.0.139   35997 0     192.168.0.255   15600 17  0  1          63        
0306.00:49:36.117 0306.00:49:36.117 0     192.168.0.139   52580 0     239.255.255.250 15600 17  0  1          63        
0306.00:49:42.161 0306.00:49:42.161 0     192.168.0.139   42141 0     239.255.255.250 15600 17  0  1          63        
0306.00:49:24.556 0306.00:49:43.592 0     192.168.0.142   27036 0     255.255.255.255 27036 17  0  6          663       
0306.00:49:45.128 0306.00:49:45.128 0     192.168.0.139   34094 0     192.168.0.255   15600 17  0  1          63        
0306.00:49:45.677 0306.00:49:48.679 0     192.168.0.91    62294 0     239.255.255.250 1900  17  0  4          812       
0306.00:49:51.077 0306.00:49:51.077 0     192.168.0.139   43318 0     192.168.0.255   15600 17  0  1          63        
0306.00:49:54.139 0306.00:49:54.139 0     192.168.0.139   33672 0     239.255.255.250 15600 17  0  1          63        
0306.00:49:57.112 0306.00:49:57.112 0     192.168.0.139   35349 0     192.168.0.255   15600 17  0  1          63        
0306.00:50:00.087 0306.00:50:00.087 0     192.168.0.139   46360 0     239.255.255.250 15600 17  0  1          63        
0306.00:50:03.154 0306.00:50:03.154 0     192.168.0.139   45570 0     192.168.0.255   15600 17  0  1          63        
0306.00:50:06.120 0306.00:50:06.120 0     192.168.0.139   38712 0     239.255.255.250 15600 17  0  1          63        
0306.00:35:37.883 0306.00:50:09.298 0     192.168.0.89    5353  0     224.0.0.251     5353  17  0  28         5712      
0306.00:50:09.092 0306.00:50:09.092 0     192.168.0.139   50789 0     192.168.0.255   15600 17  0  1          63        
0306.00:50:12.162 0306.00:50:12.162 0     192.168.0.139   52031 0     239.255.255.250 15600 17  0  1          63        
0306.00:50:15.135 0306.00:50:15.135 0     192.168.0.139   41232 0     192.168.0.255   15600 17  0  1          63        
0306.00:50:18.102 0306.00:50:18.102 0     192.168.0.139   59043 0     239.255.255.250 15600 17  0  1          63        
0306.00:50:21.173 0306.00:50:21.173 0     192.168.0.139   41231 0     192.168.0.255   15600 17  0  1          63        
0306.00:50:24.152 0306.00:50:24.152 0     192.168.0.139   45777 0     239.255.255.250 15600 17  0  1          63        
0306.00:50:27.112 0306.00:50:27.112 0     192.168.0.139   39757 0     192.168.0.255   15600 17  0  1          63        
0306.00:50:30.083 0306.00:50:30.083 0     192.168.0.139   45029 0     239.255.255.250 15600 17  0  1          63        
0306.00:50:33.154 0306.00:50:33.154 0     192.168.0.139   36623 0     192.168.0.255   15600 17  0  1          63        
0306.00:50:36.033 0306.00:50:39.102 0     192.168.0.142   51960 0     239.255.255.250 1900  17  0  4          792       
0306.00:50:39.102 0306.00:50:39.102 0     192.168.0.139   32885 0     192.168.0.255   15600 17  0  1          63        
0306.00:50:42.165 0306.00:50:42.165 0     192.168.0.139   48844 0     239.255.255.250 15600 17  0  1          63        
0306.00:50:45.134 0306.00:50:45.134 0     192.168.0.139   52887 0     192.168.0.255   15600 17  0  1          63        
0306.00:50:48.113 0306.00:50:48.113 0     192.168.0.139   41045 0     239.255.255.250 15600 17  0  1          63        
0306.00:50:51.176 0306.00:50:51.176 0     192.168.0.139   53903 0     192.168.0.255   15600 17  0  1          63        
0306.00:50:54.257 0306.00:50:54.257 0     192.168.0.139   59193 0     239.255.255.250 15600 17  0  1          63        
0306.00:50:57.116 0306.00:50:57.116 0     192.168.0.139   34343 0     192.168.0.255   15600 17  0  1          63        
0306.00:51:00.084 0306.00:51:00.084 0     192.168.0.139   42854 0     239.255.255.250 15600 17  0  1          63        
0306.00:51:03.156 0306.00:51:03.156 0     192.168.0.139   49628 0     192.168.0.255   15600 17  0  1          63        
0306.00:51:06.135 0306.00:51:06.135 0     192.168.0.139   58008 0     239.255.255.250 15600 17  0  1          63        
0306.00:51:09.095 0306.00:51:09.095 0     192.168.0.139   39980 0     192.168.0.255   15600 17  0  1          63        
0306.00:51:12.167 0306.00:51:12.167 0     192.168.0.139   59895 0     239.255.255.250 15600 17  0  1          63        
0306.00:51:18.111 0306.00:51:18.111 0     192.168.0.139   38909 0     239.255.255.250 15600 17  0  1          63        
0306.00:51:21.188 0306.00:51:21.188 0     192.168.0.139   48838 0     192.168.0.255   15600 17  0  1          63        
0306.00:51:24.148 0306.00:51:24.148 0     192.168.0.139   33663 0     239.255.255.250 15600 17  0  1          63        
0306.00:51:22.519 0306.00:51:25.486 0     192.168.0.182   52635 0     239.255.255.250 1900  17  0  4          812       
0306.00:51:27.122 0306.00:51:27.122 0     192.168.0.139   37030 0     192.168.0.255   15600 17  0  1          63        
0306.00:51:30.088 0306.00:51:30.088 0     192.168.0.139   39142 0     239.255.255.250 15600 17  0  1          63        
0306.00:54:31.880 0306.00:54:32.318 0     34.120.5.221    443   0     192.168.0.203   50984 6   3  12         4055      
0306.00:54:31.880 0306.00:54:32.318 0     192.168.0.203   50984 0     34.120.5.221    443   6   7  12         1443      
0306.00:54:32.103 0306.00:54:32.367 0     128.230.247.70  443   0     192.168.0.203   37696 6   3  7          2778      
0306.00:54:32.103 0306.00:54:32.367 0     192.168.0.203   37696 0     128.230.247.70  443   6   7  10         1178      
0306.00:51:33.158 0306.00:51:33.158 0     192.168.0.139   55866 0     192.168.0.255   15600 17  0  1          63        
0306.00:54:32.824 0306.00:54:33.100 0     128.230.247.70  443   0     192.168.0.203   37704 6   3  9          2906      
0306.00:54:32.824 0306.00:54:33.100 0     192.168.0.203   37704 0     128.230.247.70  443   6   7  9          1126      
0306.00:51:36.130 0306.00:51:36.130 0     192.168.0.139   46914 0     239.255.255.250 15600 17  0  1          63        
0306.00:54:36.810 0306.00:54:36.981 0     192.168.0.203   35988 0     192.178.48.228  443   6   7  12         1218      
0306.00:54:36.810 0306.00:54:36.981 0     192.178.48.228  443   0     192.168.0.203   35988 6   3  10         5099      
0306.00:54:37.937 0306.00:54:38.109 0     192.168.0.203   49052 0     192.178.49.195  443   6   7  12         1443      
0306.00:54:37.937 0306.00:54:38.109 0     192.178.49.195  443   0     192.168.0.203   49052 6   3  12         5298      
0306.00:54:38.427 0306.00:54:38.545 0     192.168.0.203   39698 0     192.178.49.174  443   6   7  15         1587      
0306.00:54:38.427 0306.00:54:38.545 0     192.178.49.174  443   0     192.168.0.203   39698 6   6  12         7764      
0306.00:51:39.107 0306.00:51:39.107 0     192.168.0.139   50285 0     192.168.0.255   15600 17  0  1          63        
0306.00:54:39.783 0306.00:54:39.938 0     34.120.237.76   443   0     192.168.0.203   59754 6   3  11         4022      
0306.00:54:39.783 0306.00:54:39.938 0     192.168.0.203   59754 0     34.120.237.76   443   6   7  12         1431      
0306.00:54:39.784 0306.00:54:39.918 0     34.120.237.76   443   0     192.168.0.203   59756 6   3  12         4062      
0306.00:54:39.784 0306.00:54:39.918 0     192.168.0.203   59756 0     34.120.237.76   443   6   7  12         1443      
0306.00:51:42.170 0306.00:51:42.170 0     192.168.0.139   59225 0     239.255.255.250 15600 17  0  1          63        
0306.00:54:42.562 0306.00:54:42.586 0     192.168.0.203   45606 0     192.178.49.163  443   6   6  2          100       
0306.00:54:42.562 0306.00:54:42.586 0     192.178.49.163  443   0     192.168.0.203   45606 6   2  1          60        
0306.00:54:42.579 0306.00:54:42.603 0     192.168.0.203   45610 0     192.178.49.163  443   6   6  2          100       
0306.00:54:42.579 0306.00:54:42.603 0     192.178.49.163  443   0     192.168.0.203   45610 6   2  1          60        
0306.00:54:42.579 0306.00:54:42.602 0     192.168.0.203   45612 0     192.178.49.163  443   6   6  2          100       
