Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0304.16:11:19.170 0304.16:11:19.170 0     192.168.0.139   35358 0     192.168.0.255   15600 17  0  1          63        
0304.16:11:22.234 0304.16:11:22.234 0     192.168.0.139   47166 0     239.255.255.250 15600 17  0  1          63        
0304.16:11:25.201 0304.16:11:25.201 0     192.168.0.139   44164 0     192.168.0.255   15600 17  0  1          63        
0304.16:11:28.181 0304.16:11:28.181 0     192.168.0.139   58015 0     239.255.255.250 15600 17  0  1          63        
0304.16:11:31.150 0304.16:11:31.150 0     192.168.0.139   50670 0     192.168.0.255   15600 17  0  1          63        
0304.16:11:34.223 0304.16:11:34.223 0     192.168.0.139   46153 0     239.255.255.250 15600 17  0  1          63        
0304.16:11:37.192 0304.16:11:37.192 0     192.168.0.139   53526 0     192.168.0.255   15600 17  0  1          63        
0304.16:11:40.152 0304.16:11:40.152 0     192.168.0.139   42228 0     239.255.255.250 15600 17  0  1          63        
0304.16:11:43.225 0304.16:11:43.225 0     192.168.0.139   41426 0     192.168.0.255   15600 17  0  1          63        
0304.16:11:32.686 0304.16:11:45.685 0     192.168.0.128   5353  0     224.0.0.251     5353  17  0  5          526       
0304.16:11:46.195 0304.16:11:46.195 0     192.168.0.139   38850 0     239.255.255.250 15600 17  0  1          63        
0304.16:11:49.168 0304.16:11:49.168 0     192.168.0.139   38031 0     192.168.0.255   15600 17  0  1          63        
0304.16:11:52.245 0304.16:11:52.245 0     192.168.0.139   53543 0     239.255.255.250 15600 17  0  1          63        
0304.16:11:55.209 0304.16:11:55.209 0     192.168.0.139   34967 0     192.168.0.255   15600 17  0  1          63        
0304.16:11:58.183 0304.16:11:58.183 0     192.168.0.139   56782 0     239.255.255.250 15600 17  0  1          63        
0304.16:12:01.144 0304.16:12:01.144 0     192.168.0.139   58893 0     192.168.0.255   15600 17  0  1          63        
0304.16:12:04.216 0304.16:12:04.216 0     192.168.0.139   43417 0     239.255.255.250 15600 17  0  1          63        
0304.16:12:07.186 0304.16:12:07.186 0     192.168.0.139   49866 0     192.168.0.255   15600 17  0  1          63        
0304.16:12:10.157 0304.16:12:10.157 0     192.168.0.139   44865 0     239.255.255.250 15600 17  0  1          63        
0304.16:12:10.106 0304.16:12:13.109 0     192.168.0.91    65193 0     239.255.255.250 1900  17  0  4          792       
0304.16:12:13.227 0304.16:12:13.227 0     192.168.0.139   34955 0     192.168.0.255   15600 17  0  1          63        
0304.16:12:16.197 0304.16:12:16.197 0     192.168.0.139   45955 0     239.255.255.250 15600 17  0  1          63        
0304.16:12:15.280 0304.16:12:18.249 0     192.168.0.182   64333 0     239.255.255.250 1900  17  0  4          812       
0304.16:12:19.172 0304.16:12:19.172 0     192.168.0.139   35266 0     192.168.0.255   15600 17  0  1          63        
0304.16:12:22.342 0304.16:12:22.342 0     192.168.0.139   58438 0     239.255.255.250 15600 17  0  1          63        
0304.16:12:25.210 0304.16:12:25.210 0     192.168.0.139   45866 0     192.168.0.255   15600 17  0  1          63        
0304.16:12:28.183 0304.16:12:28.183 0     192.168.0.139   54236 0     239.255.255.250 15600 17  0  1          63        
0304.16:12:31.148 0304.16:12:31.148 0     192.168.0.139   40608 0     192.168.0.255   15600 17  0  1          63        
0304.16:12:34.220 0304.16:12:34.220 0     192.168.0.139   35477 0     239.255.255.250 15600 17  0  1          63        
0304.16:12:32.070 0304.16:12:35.042 0     192.168.0.208   50615 0     239.255.255.250 1900  17  0  4          812       
0304.16:12:37.190 0304.16:12:37.190 0     192.168.0.139   32773 0     192.168.0.255   15600 17  0  1          63        
0304.16:12:40.166 0304.16:12:40.166 0     192.168.0.139   49499 0     239.255.255.250 15600 17  0  1          63        
0304.16:12:43.230 0304.16:12:43.230 0     192.168.0.139   32801 0     192.168.0.255   15600 17  0  1          63        
0304.16:12:46.199 0304.16:12:46.199 0     192.168.0.139   41753 0     239.255.255.250 15600 17  0  1          63        
0304.16:12:44.338 0304.16:12:47.339 0     192.168.0.91    61458 0     239.255.255.250 1900  17  0  4          812       
0304.16:12:49.170 0304.16:12:49.170 0     192.168.0.139   49324 0     192.168.0.255   15600 17  0  1          63        
0304.16:12:52.240 0304.16:12:52.240 0     192.168.0.139   46486 0     239.255.255.250 15600 17  0  1          63        
0304.16:12:55.216 0304.16:12:55.216 0     192.168.0.139   34914 0     192.168.0.255   15600 17  0  1          63        
0304.16:12:58.181 0304.16:12:58.181 0     192.168.0.139   52912 0     239.255.255.250 15600 17  0  1          63        
0304.16:13:01.254 0304.16:13:01.254 0     192.168.0.139   59740 0     192.168.0.255   15600 17  0  1          63        
0304.16:13:04.221 0304.16:13:04.221 0     192.168.0.139   56685 0     239.255.255.250 15600 17  0  1          63        
0304.16:13:07.194 0304.16:13:07.194 0     192.168.0.139   47199 0     192.168.0.255   15600 17  0  1          63        
0304.16:13:10.162 0304.16:13:10.162 0     192.168.0.139   56038 0     239.255.255.250 15600 17  0  1          63        
0304.16:13:13.243 0304.16:13:13.243 0     192.168.0.139   52726 0     192.168.0.255   15600 17  0  1          63        
0304.16:13:13.849 0304.16:13:16.922 0     192.168.0.142   49959 0     239.255.255.250 1900  17  0  4          792       
0304.16:13:16.213 0304.16:13:16.213 0     192.168.0.139   40166 0     239.255.255.250 15600 17  0  1          63        
0304.16:13:19.172 0304.16:13:19.172 0     192.168.0.139   54949 0     192.168.0.255   15600 17  0  1          63        
0304.16:13:22.245 0304.16:13:22.245 0     192.168.0.139   60496 0     239.255.255.250 15600 17  0  1          63        
0304.16:13:25.223 0304.16:13:25.223 0     192.168.0.139   54734 0     192.168.0.255   15600 17  0  1          63        
0304.16:13:13.642 0304.16:13:26.750 0     192.168.0.148   52504 0     239.255.255.250 1900  17  0  15         2295      
0304.16:13:28.192 0304.16:13:28.192 0     192.168.0.139   38493 0     239.255.255.250 15600 17  0  1          63        
0304.16:13:31.257 0304.16:13:31.257 0     192.168.0.139   54612 0     192.168.0.255   15600 17  0  1          63        
0304.16:13:19.070 0304.16:13:32.177 0     192.168.0.190   5353  0     224.0.0.251     5353  17  0  6          835       
0304.16:16:33.306 0304.16:16:33.739 0     34.120.5.221    443   0     192.168.0.203   50492 6   3  13         4188      
0304.16:16:33.306 0304.16:16:33.739 0     192.168.0.203   50492 0     34.120.5.221    443   6   7  15         1824      
0304.16:13:34.229 0304.16:13:34.229 0     192.168.0.139   59852 0     239.255.255.250 15600 17  0  1          63        
0304.16:16:33.879 0304.16:16:34.128 0     128.230.247.70  443   0     192.168.0.203   37210 6   3  8          2842      
0304.16:16:33.879 0304.16:16:34.128 0     192.168.0.203   37210 0     128.230.247.70  443   6   7  10         1178      
0304.16:16:34.090 0304.16:16:34.348 0     128.230.247.70  443   0     192.168.0.203   37212 6   3  9          2906      
0304.16:16:34.090 0304.16:16:34.348 0     192.168.0.203   37212 0     128.230.247.70  443   6   7  10         1178      
0304.16:13:37.195 0304.16:13:37.195 0     192.168.0.139   60026 0     192.168.0.255   15600 17  0  1          63        
0304.16:13:40.172 0304.16:13:40.172 0     192.168.0.139   48264 0     239.255.255.250 15600 17  0  1          63        
0304.16:13:43.237 0304.16:13:43.237 0     192.168.0.139   53877 0     192.168.0.255   15600 17  0  1          63        
0304.16:13:46.206 0304.16:13:46.206 0     192.168.0.139   44852 0     239.255.255.250 15600 17  0  1          63        
0304.16:16:46.242 0304.16:16:46.366 0     34.120.237.76   443   0     192.168.0.203   59226 6   3  13         4126      
0304.16:16:46.242 0304.16:16:46.366 0     192.168.0.203   59226 0     34.120.237.76   443   6   7  13         1483      
0304.16:16:46.242 0304.16:16:46.354 0     34.120.237.76   443   0     192.168.0.203   59228 6   6  8          3798      
0304.16:16:46.242 0304.16:16:46.354 0     192.168.0.203   59228 0     34.120.237.76   443   6   7  11         1391      
0304.16:16:46.242 0304.16:16:46.388 0     34.120.237.76   443   0     192.168.0.203   59230 6   3  11         4010      
0304.16:16:46.242 0304.16:16:46.388 0     192.168.0.203   59230 0     34.120.237.76   443   6   7  11         1391      
0304.16:16:46.242 0304.16:16:46.392 0     34.120.237.76   443   0     192.168.0.203   59232 6   3  13         4183      
0304.16:16:46.242 0304.16:16:46.392 0     192.168.0.203   59232 0     34.120.237.76   443   6   7  13         1507      
0304.16:16:46.242 0304.16:16:46.353 0     34.120.237.76   443   0     192.168.0.203   59234 6   6  9          3850      
0304.16:16:46.242 0304.16:16:46.353 0     192.168.0.203   59234 0     34.120.237.76   443   6   7  12         1443      
0304.16:16:48.353 0304.16:16:48.486 0     142.250.188.238 443   0     192.168.0.203   60412 6   6  11         7700      
0304.16:16:48.353 0304.16:16:48.486 0     192.168.0.203   60412 0     142.250.188.238 443   6   6  13         1495      
0304.16:16:48.624 0304.16:16:48.645 0     142.250.217.131 443   0     192.168.0.203   60784 6   2  1          60        
0304.16:16:48.624 0304.16:16:48.645 0     192.168.0.203   60784 0     142.250.217.131 443   6   6  2          100       
0304.16:16:48.625 0304.16:16:48.650 0     142.250.217.131 443   0     192.168.0.203   60788 6   2  1          60        
0304.16:16:48.625 0304.16:16:48.650 0     192.168.0.203   60788 0     142.250.217.131 443   6   6  2          100       
0304.16:16:48.626 0304.16:16:48.651 0     142.250.217.131 443   0     192.168.0.203   60790 6   2  1          60        
0304.16:16:48.626 0304.16:16:48.651 0     192.168.0.203   60790 0     142.250.217.131 443   6   6  2          100       
0304.16:16:48.626 0304.16:16:48.650 0     142.250.217.131 443   0     192.168.0.203   60792 6   2  1          60        
0304.16:16:48.626 0304.16:16:48.650 0     192.168.0.203   60792 0     142.250.217.131 443   6   6  2          100       
0304.16:13:49.178 0304.16:13:49.178 0     192.168.0.139   57097 0     192.168.0.255   15600 17  0  1          63        
0304.16:13:52.260 0304.16:13:52.260 0     192.168.0.139   35572 0     239.255.255.250 15600 17  0  1          63        
0304.16:16:53.284 0304.16:16:53.394 0     31.13.70.36     443   0     192.168.0.203   45864 6   7  11         4104      
0304.16:16:53.284 0304.16:16:53.394 0     192.168.0.203   45864 0     31.13.70.36     443   6   7  13         1440      
0304.16:13:55.215 0304.16:13:55.215 0     192.168.0.139   50027 0     192.168.0.255   15600 17  0  1          63        
0304.16:13:58.194 0304.16:13:58.194 0     192.168.0.139   35899 0     239.255.255.250 15600 17  0  1          63        
0304.16:16:58.761 0304.16:16:58.761 0     192.168.0.107   57642 0     192.168.0.203   25    6   2  1          60        
0304.16:16:58.761 0304.16:16:58.761 0     192.168.0.203   25    0     192.168.0.107   57642 6   4  1          40        
0304.16:16:58.761 0304.16:16:58.761 0     192.168.0.107   59942 0     192.168.0.203   445   6   2  1          60        
0304.16:16:58.761 0304.16:16:58.761 0     192.168.0.203   445   0     192.168.0.107   59942 6   4  1          40        
0304.16:16:58.761 0304.16:16:58.770 0     192.168.0.107   43070 0     192.168.0.203   23    6   6  3          164       
0304.16:16:58.761 0304.16:16:58.770 0     192.168.0.203   23    0     192.168.0.107   43070 6   2  1          60        
0304.16:16:58.761 0304.16:16:58.770 0     192.168.0.107   60310 0     192.168.0.203   53    6   6  3          164       
0304.16:16:58.761 0304.16:16:58.770 0     192.168.0.203   53    0     192.168.0.107   60310 6   2  1          60        
0304.16:16:58.761 0304.16:16:58.761 0     192.168.0.107   54708 0     192.168.0.203   3306  6   2  1          60        
0304.16:16:58.761 0304.16:16:58.761 0     192.168.0.203   3306  0     192.168.0.107   54708 6   4  1          40        
0304.16:16:58.763 0304.16:16:58.763 0     192.168.0.107   40876 0     192.168.0.203   1723  6   2  1          60        
0304.16:16:58.763 0304.16:16:58.763 0     192.168.0.203   1723  0     192.168.0.107   40876 6   4  1          40        
0304.16:16:58.763 0304.16:16:58.763 0     192.168.0.107   33044 0     192.168.0.203   993   6   2  1          60        
0304.16:16:58.763 0304.16:16:58.763 0     192.168.0.203   993   0     192.168.0.107   33044 6   4  1          40        
0304.16:16:58.766 0304.16:16:58.766 0     192.168.0.107   57974 0     192.168.0.203   554   6   2  1          60        
0304.16:16:58.766 0304.16:16:58.766 0     192.168.0.203   554   0     192.168.0.107   57974 6   4  1          40        
0304.16:16:58.766 0304.16:16:58.766 0     192.168.0.107   54502 0     192.168.0.203   443   6   2  1          60        
0304.16:16:58.766 0304.16:16:58.766 0     192.168.0.203   443   0     192.168.0.107   54502 6   4  1          40        
0304.16:16:58.766 0304.16:16:58.766 0     192.168.0.107   43028 0     192.168.0.203   110   6   2  1          60        
0304.16:16:58.766 0304.16:16:58.766 0     192.168.0.203   110   0     192.168.0.107   43028 6   4  1          40        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.107   54430 0     192.168.0.203   256   6   2  1          60        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.203   256   0     192.168.0.107   54430 6   4  1          40        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.107   35580 0     192.168.0.203   135   6   2  1          60        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.203   135   0     192.168.0.107   35580 6   4  1          40        
0304.16:16:58.770 0304.16:16:58.782 0     192.168.0.107   44340 0     192.168.0.203   22    6   6  3          164       
0304.16:16:58.770 0304.16:16:58.782 0     192.168.0.203   22    0     192.168.0.107   44340 6   2  1          60        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.107   51162 0     192.168.0.203   587   6   2  1          60        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.203   587   0     192.168.0.107   51162 6   4  1          40        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.107   43992 0     192.168.0.203   111   6   2  1          60        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.203   111   0     192.168.0.107   43992 6   4  1          40        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.107   37698 0     192.168.0.203   199   6   2  1          60        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.203   199   0     192.168.0.107   37698 6   4  1          40        
0304.16:16:58.770 0304.16:16:58.788 0     192.168.0.107   56430 0     192.168.0.203   80    6   6  3          164       
0304.16:16:58.770 0304.16:16:58.788 0     192.168.0.203   80    0     192.168.0.107   56430 6   2  1          60        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.107   36838 0     192.168.0.203   139   6   2  1          60        
0304.16:16:58.770 0304.16:16:58.770 0     192.168.0.203   139   0     192.168.0.107   36838 6   4  1          40        
0304.16:16:58.771 0304.16:16:58.771 0     192.168.0.107   53492 0     192.168.0.203   143   6   2  1          60        
0304.16:16:58.771 0304.16:16:58.771 0     192.168.0.203   143   0     192.168.0.107   53492 6   4  1          40        
0304.16:16:58.771 0304.16:16:58.771 0     192.168.0.107   49590 0     192.168.0.203   113   6   2  1          60        
0304.16:16:58.771 0304.16:16:58.771 0     192.168.0.203   113   0     192.168.0.107   49590 6   4  1          40        
0304.16:16:58.771 0304.16:16:58.798 0     192.168.0.107   39220 0     192.168.0.203   21    6   6  4          210       
0304.16:16:58.771 0304.16:16:58.798 0     192.168.0.203   21    0     192.168.0.107   39220 6   2  2          132       
0304.16:16:58.771 0304.16:16:58.771 0     192.168.0.107   57926 0     192.168.0.203   1720  6   2  1          60        
0304.16:16:58.771 0304.16:16:58.771 0     192.168.0.203   1720  0     192.168.0.107   57926 6   4  1          40        
0304.16:16:58.772 0304.16:16:58.772 0     192.168.0.107   51460 0     192.168.0.203   3389  6   2  1          60        
0304.16:16:58.772 0304.16:16:58.772 0     192.168.0.203   3389  0     192.168.0.107   51460 6   4  1          40        
0304.16:16:58.772 0304.16:16:58.772 0     192.168.0.107   42662 0     192.168.0.203   995   6   2  1          60        
0304.16:16:58.772 0304.16:16:58.772 0     192.168.0.203   995   0     192.168.0.107   42662 6   4  1          40        
0304.16:16:58.772 0304.16:16:58.772 0     192.168.0.107   34772 0     192.168.0.203   1025  6   2  1          60        
0304.16:16:58.772 0304.16:16:58.772 0     192.168.0.203   1025  0     192.168.0.107   34772 6   4  1          40        
0304.16:16:58.772 0304.16:16:58.772 0     192.168.0.107   39766 0     192.168.0.203   3682  6   2  1          60        
0304.16:16:58.772 0304.16:16:58.772 0     192.168.0.203   3682  0     192.168.0.107   39766 6   4  1          40        
0304.16:16:58.777 0304.16:16:58.777 0     192.168.0.107   43270 0     192.168.0.203   166   6   2  1          60        
0304.16:16:58.777 0304.16:16:58.777 0     192.168.0.203   166   0     192.168.0.107   43270 6   4  1          40        
0304.16:16:58.777 0304.16:16:58.777 0     192.168.0.107   52422 0     192.168.0.203   1852  6   2  1          60        
